Rank,City,Continent,Country,Population,Index Score,Safe and Connected Infrastructure,Usage and Reach,Policy and Support,Protected_km,Infra_density (km of bicycle infra/100 km of roadway),Score Bicycle Infrastructure,Public_spaces,Enclosed_spaces,Parking_density (stands/1K pop),Score Bicycle Parking,Street_km_total,Street_Km_30,Traffic_30 (% of km of roadway),Traffic Calming,Bike_trips_women_%,Score Women Modal Share,"Modal_share_2024_% 
(or nearest post-Covid)",Score Modal Share,"Modal_share_2019_% 
(or nearest pre-Covid)",Modal_delta (percentage points),Score Modal Share Increase,Cyclist_deaths,Safety_rate (rate/100K pop),Score Safety,Media_tone_70%_positive,Bicycle_brand_network_identity,School_cycling_education,Score Image of the Bicycle,Household_purchase_subsidy_yes_no,Logistics_business_subsidy_yes_no,Cargo_commercial_adoption_yes_no,Supportive_infra_standards_yes_no,Score Cargo Bikes,NGO_exists_yes_no,NGO_events_yes_no,NGO_policy_yes_no,Score Advocacy,Bicycle_budget_5yr,Spending_per_capita (€/capita/year),Score Political Commitment,Bike_share_fleet,Bike_share_trips,PT_integration_yes_no,Bike_share_cov_density (bikes/1K pop),Bike_share_usage (trips/bike/day),Bike_share_cov_score,Bike_share_usage_score,Score Bike Share,3yr_new_lanes_km,Cycling_masterplan_yes_no,Cycling_unit_yes_no,Cycling_standards_yes_no,Cycling_monitoring_yes_no,Infra_increase (km of bicycle infra/100 km of roadway),Infra_increase_score,Score Urban Planning,Lat,Lon
1,Utrecht,Europe,Netherlands,376735,71.11231179,67.14031983,64.41835749,79.16666667,330.0,27.84810127,52.88616492,76295.0,33647.0,494.3448312,87.51839043,1185.0,850.0,71.72995781,76.71870625,52.4,80.66666667,29.0,60.86956522,29.0,0.0,50.0,2.4,0.63705257,68.57833756,0,1,1,66.66666667,0,1,1,1,75,1,1,1,100.0,120000000.0,63.70525701,100.0,3762.0,1100000.0,1,9.985799036,0.801089482,4,0,55.55555556,2.1,1,1,1,1,0.17721519,1,50,52.0907006,5.1215634
2,Copenhagen,Europe,Denmark,669208,70.84421575,73.79065619,65.15804003,76.5578309,398.0,52.16251638,100.0,189000.0,0.0,564.846804,100.0,763.0,27.4,3.591087811,3.694138796,52.0,80.0,29.0,60.86956522,28.0,1.0,57.14285714,2.0,0.298860743,85.25914215,0,1,1,66.66666667,0,0,1,1,50,1,1,1,100.0,127000000.0,37.95531434,59.56465695,8180.0,3053142.0,0,12.22340438,3.628968591,4,3,77.77777778,10.0,1,1,1,1,1.31061599,4,80,55.6867243,12.5700724
3,Ghent,Europe,Belgium,270473,67.5920288,59.22135865,66.07487923,83.05379624,325.8,27.91773779,53.02109902,32467.0,18275.0,307.6425373,54.46477437,1167.0,731.0,62.63924593,66.97617159,51.5,79.16666667,33.5,70.65217391,33.5,0.0,50.0,3.2,1.183112547,41.64474827,1,1,1,100.0,0,1,1,1,75,1,1,1,100.0,45000000.0,33.27504039,52.21518495,2280.0,1032123.0,0,8.429676899,1.240234319,4,1,55.55555556,19.4,1,1,1,1,1.662382177,4,80,51.0538286,3.7250121
4,Amsterdam,Europe,Netherlands,934526,66.61735117,68.70711516,66.5410628,62.44616883,634.0,31.27775037,59.53176678,127500.0,42410.0,318.2468974,56.34216129,2027.0,1662.0,81.99309324,87.71772966,55.0,85.0,37.0,78.26086957,37.0,0.0,50.0,3.8,0.406623251,79.94391809,0,1,1,66.66666667,0,1,1,1,75,1,1,1,100.0,68900000.0,14.74544314,23.11800866,5150.0,137970.0,1,5.510815108,0.073398058,3,0,44.44444444,8.0,1,1,1,1,0.394671929,2,60,52.3730796,4.8924534
5,Paris,Europe,France,2070806,64.98508212,70.77272636,73.06970324,56.39847988,474.0,31.6,60.15618714,61294.0,5900.0,62.04733809,10.98480821,1500.0,1300.0,86.66666667,92.72640794,40.0,60.0,11.2,22.17391304,5.0,6.2,94.28571429,4.2,0.202819578,89.99622852,0,0,0,0.0,1,1,1,1,100,1,1,1,100.0,169000000.0,16.32214703,25.59391951,33029.0,56420513.0,1,15.94982823,4.680031123,4,3,88.88888889,83.0,1,1,1,1,5.533333333,6,100,48.8588897,2.320041
6,Helsinki,Europe,Finland,684018,64.90489796,60.20515673,58.31608006,80.28937239,600.0,36.85503686,70.33882729,5600.0,4510.0,22.96723186,4.066099285,1628.0,972.0,59.70515971,63.83170534,49.0,75.0,11.0,21.73913043,9.0,2.0,64.28571429,1.0,0.146194983,92.78915175,1,1,1,100.0,0,1,1,1,75,1,1,1,100.0,111500000.0,32.60148125,51.15748958,3470.0,2200000.0,1,5.072965916,1.737002092,3,1,55.55555556,14.0,1,1,1,1,0.85995086,3,70,60.1666204,24.9435408
7,Münster,Europe,Germany,322715,64.71689558,56.23844448,61.76666667,80.3235217,350.0,29.16666667,55.44113786,4829.0,6589.0,50.34473142,8.912988631,1200.0,800.0,66.66666667,71.2923667,54.3,83.83333333,47.0,100.0,43.5,3.5,75.0,1.6,0.495793502,75.5457292,1,1,1,100.0,0,0,1,1,50,1,1,1,100.0,52745296.0,32.68846877,51.29408679,0.0,0.0,0,0.0,0.0,0,0,0.0,21.8,1,1,0,1,1.816666667,4,70,51.9625101,7.6251879
8,Antwerp,Europe,Belgium,565707,64.41808544,51.2257533,75.42028986,63.85766206,610.4,26.20867325,49.70945921,20056.0,6179.0,81.82857911,14.48686237,2329.0,1608.0,69.04250751,73.83856024,55.0,85.0,38.0,80.43478261,35.2,2.8,70.0,3.8,0.671725823,66.86813138,0,1,1,66.66666667,0,1,1,1,75,1,1,1,100.0,33865262.0,11.97272157,18.76398156,4460.0,7160000.0,0,7.883939919,4.398304564,3,3,66.66666667,21.64,1,1,1,1,0.929154143,3,70,51.2211097,4.3997081
9,Bordeaux,Europe,France,265328,62.88426893,53.69441742,69.69013112,65.14318835,45.6,6.137281292,10.81729397,11407.0,3171.0,97.93538564,17.33839776,743.0,661.0,88.96366083,95.18810132,50.0,76.66666667,15.0,30.43478261,13.1,1.9,63.57142857,0.8,0.301513598,85.12829404,0,1,1,66.66666667,1,1,1,1,100,1,1,1,100.0,28675963.5,21.61548235,33.90608673,2439.0,1800000.0,1,9.192395827,2.021938028,4,2,77.77777778,4.8,1,1,1,1,0.64602961,2,60,44.841225,-0.5800364
10,Nantes,Europe,France,325070,62.77996148,55.31929344,65.16080055,68.43475731,86.0,10.98339719,20.20757147,8744.0,3088.0,63.297136,11.20607137,783.0,690.0,88.12260536,94.28674044,40.0,60.0,9.0,17.39130435,3.0,6.0,92.85714286,0.6,0.18457563,90.89608392,0,1,1,66.66666667,1,1,1,1,100,1,1,1,100.0,48760500.0,30.0,47.07236255,1230.0,1170000.0,1,3.783800412,2.606080855,2,2,55.55555556,2.6,1,1,1,1,0.332056194,2,60,47.2186371,-1.5541362
